brand,code,name,hex
DMC,3858,Rosewood Medium,#964A3F
DMC,3857,Rosewood Dark,#68251A
DMC,3774,Desert Sand Very Light,#F3E1D7
DMC,950,Desert Sand Light,#EED3C4
DMC,3064,Desert Sand,#C48E70
DMC,407,Desert Sand Medium,#BB8161
DMC,3773,Desert Sand Dark,#B67552
DMC,3772,Desert Sand Very Dark,#A06C50
DMC,632,Desert Sand Ultra Very Dark,#875539
DMC,453,Shell Gray Light,#D7CECB
DMC,452,Shell Gray Medium,#C0B3AE
DMC,451,Shell Gray Dark,#917B73
DMC,3861,Cocoa Light,#A68881
DMC,3860,Cocoa,#7D5D57
DMC,779,Cocoa Dark,#624B45
DMC,712,Cream,#FFFBEF
DMC,739,Tan Ultra Very Light,#F8E4C8
DMC,738,Tan Very Light,#ECCC9E
DMC,437,Tan Light,#E4BB8E
DMC,436,Tan,#CB9051
DMC,435,Brown Very Light,#B87748
DMC,434,Brown Light,#985E33
DMC,433,Brown Medium,#7A451F
DMC,801,Coffee Brown Dark,#653919
DMC,898,Coffee Brown Very Dark,#492A13
DMC,938,Coffee Brown Ultra Dark,#361F0E
DMC,3371,Black Brown,#1E1108
DMC,543,Beige Brown Ultra Very Light,#F2E3CE
DMC,3864,Mocha Beige Light,#CBB69C
DMC,3863,Mocha Beige Medium,#A4835C
DMC,3862,Mocha Beige Dark,#8A6E4E
DMC,3031,Mocha Brown Very Dark,#4B3C2A
DMC,B5200,Snow White,#FFFFFF
DMC,White,White,#FCFBF8
DMC,3865,Winter White,#F9F7F1
DMC,Ecru,Ecru,#F0EADA
DMC,822,Beige Gray Light,#E7E2D3
DMC,644,Beige Gray Medium,#DDD8CB
DMC,642,Beige Gray Dark,#A49878
DMC,640,Beige Gray Very Dark,#857B61
DMC,3787,Brown Gray Dark,#625D50
DMC,3021,Brown Gray Very Dark,#4F4B41
DMC,3024,Brown Gray Very Light,#EBEAE7
DMC,3023,Brown Gray Light,#B1AA97
DMC,3022,Brown Gray Medium,#8E9078
DMC,535,Ash Gray Very Light,#636458
DMC,3033,Mocha Brown Very Light,#E3D8CC
DMC,3782,Mocha Brown Light,#D2BCA6
DMC,3032,Mocha Brown Medium,#B39F8B
DMC,3790,Beige Gray Ultra Dark,#7F6A55
DMC,3781,Mocha Brown Dark,#6B5743
DMC,3866,Mocha Brown Ultra Very Light,#FAF6F0
DMC,842,Beige Brown Very Light,#D1BAA1
DMC,841,Beige Brown Light,#B69B7E
DMC,840,Beige Brown Medium,#9A7C5C
DMC,839,Beige Brown Dark,#675541
DMC,838,Beige Brown Very Dark,#594937
DMC,3072,Beaver Gray Very Light,#E6E8E8
DMC,648,Beaver Gray Light,#BCB4AC
DMC,647,Beaver Gray Medium,#B0A69C
DMC,646,Beaver Gray Dark,#877D73
DMC,645,Beaver Gray Very Dark,#6E655C
DMC,844,Beaver Gray Ultra Dark,#484848
DMC,762,Pearl Gray Very Light,#ECECEC
DMC,415,Pearl Gray,#D3D3D6
DMC,318,Steel Gray Light,#ABABAB
DMC,414,Steel Gray Dark,#8C8C8C
DMC,168,Pewter Very Light,#D1D1D1
DMC,169,Pewter Light,#848484
DMC,317,Pewter Gray,#6C6C6C
DMC,413,Pewter Gray Dark,#565656
DMC,3799,Pewter Gray Very Dark,#424242
DMC,310,Black,#000000
DMC,01,White Tin,#E3E3E6
DMC,02,Tin,#D7D7D8
DMC,03,Tin Medium,#B8B8BB
DMC,04,Tin Dark,#AEAEB1
DMC,05,Driftwood Light,#E3CCBE
DMC,06,Driftwood Medium Light,#DCC6B8
DMC,07,Driftwood,#8F7B6E
DMC,08,Driftwood Dark,#6A5046
DMC,09,Cocoa Very Dark,#552014
DMC,10,Tender Green Very Light,#EDFED9
DMC,11,Tender Green Light,#E2EDB5
DMC,12,Tender Green,#CDD99A
DMC,13,Nile Green Medium Light,#BFF6E0
DMC,14,Apple Green Pale,#D0FBB2
DMC,15,Apple Green,#D1EDA4
DMC,16,Chartreuse Light,#C9C258
DMC,17,Yellow Plum Light,#E5E272
DMC,18,Yellow Plum,#D9D56D
DMC,19,Autumn Gold medium Light,#F7C95F
DMC,20,Shrimp,#F7AF93
DMC,21,Alizarin Light,#D79982
DMC,22,Alizarin,#BC604E
DMC,23,Apple Blossom,#EDE2ED
DMC,24,White Lavender,#E0D7EE
DMC,25,Lavender Ultra Light,#DAD2E9
DMC,26,Lavender Pale,#D7CAE6
DMC,27,White Violet,#F0EEF9
DMC,28,Eggplant Medium Light,#9086A9
DMC,29,Eggplant,#674076
DMC,30,Blueberry Medium Light,#7D77A5
DMC,31,Blueberry,#50518D
DMC,32,Blueberry Dark,#4D2E8A
DMC,33,Fuschia,#9C599C
DMC,34,Fuschia Dark,#7D3064
DMC,35,Fuschia Very Dark,#46052D
